"track","artist","album"
"steal away - remastered 2004","harold budd","ambient 2: the plateaux of mirror (remastered 2004)"
"wildlife analysis","boards of canada","music has the right to children"
"on fye","the simps","siblings"
"rain","bôa","twilight"
"rosemary","deftones","koi no yokan"
"this old dog","mac demarco","this old dog"
"kick the tragedy","drop nineteens","delaware"
"dumb","nirvana","in utero"
"need 2","pinegrove","everything so far"
"hole","horse jumper of love","demo anthology"
"preoccupied","mac demarco","here comes the cowboy"
"flower","blue smiley","ok"
"nudists","valium aggelein","black moon"
"moon, i already know","mount eerie","dawn"
"on the level","mac demarco","this old dog"
"spin","blue smiley","return"
"please stay","birth day","boyhood"
"womb night","jefre cantu-ledesma","love is a stream"
"problems","pinegrove","everything so far"
"secret lovers at the heaven's gate ranch","i hate myself","ten songs"
"i was all over her","salvia palth","melanchole"
"suicide cleanup","birth day","boyhood"
"twist cone","horse jumper of love","so divine"
"no she never made it to japan","roy montgomery","and now the rain sounds like life is falling down through it"
"gnaw","alex g","race"
"driving alone past roadwork at night","ricky eat acid","three love songs"
"crescent","jefre cantu-ledesma","a decade deeper"
"instrumental 3","florist","if blue could be happiness"
"the one with the wurlitzer","american football","american football"
"ipomoea","love spirals downwards","ever"
"advice","alex g","trick"
"gehenna","loathe","prepare consume proceed"
"it's steeper near the roses (for david sylvian) - 2013 remaster","harold budd","avalon sutra (2013 remaster)"
"nagoya","ringo deathstarr","ringo deathstarr"
"i","aphex twin","selected ambient works 85-92"
"the opportunity passed in less than a minute","roy montgomery","and now the rain sounds like life is falling down through it"
"faraon - 2013 remaster","harold budd","avalon sutra (2013 remaster)"
"sea, swallow me","cocteau twins","the moon and the melodies"
"alsatia","galneryus","alsatia / cause disarray"
"movin' out (anthony's song)","billy joel","the stranger (legacy edition)"
"leave you alone","sea of lettuce","photos"
"冬のはなし","ギヴン","gift"
"夜風とハヤブサ","indigo la end","夜行秘密"
"moonglow","potsu","just friends"
"kaikai kitan","eve","kaikai kitan / ao no waltz"
"jet","polkadot stingray","何者"
"鐘泣く命","indigo la end","crying end roll"
"fool","bôa","twilight"
"月の丘","ichiko aoba","qp"
"get there","bôa","get there"
"falling apart","slow pulp","moveys"
"tulipa (asamoya) - remastered","800 cherries","opuscula (2022 remaster)"
"why do i cry","margo guryan","27 demos"
"shiny blue dead fish","sugar plant","cage of the sun + early singles"
"like someone in love","björk","debut"
"怪物","yoasobi","怪物"
"comment te dire adieu - remasterisé en 2016","françoise hardy","comment te dire adieu (remasterisé en 2016)"
"oddtaxi","スカートとpunpee","oddtaxi"
"words that we couldn't say","steve conte","cowboy bebop (original motion picture soundtrack 3 - blue)"
"new years' snow","satanicpornocultshop","arkhaiomelisidonophunikheratos"
"アイドル","yoasobi","アイドル"
"felicità","al bano and romina power","felicità"
"señorita","christophe","les mots bleus"
"all i do is dream of you","debbie reynolds","singin' in the rain (original motion picture soundtrack)"
"after the love has gone","earth, wind & fire","i am"
"estou além","antónio variações","anjo da guarda"
"go!!!","flow","game"
"kimi ga iru","the pillows","moon gold"
"call it fate, call it karma","the strokes","comedown machine"
"インフェルノ","9mm parabellum bullet","インフェルノ"
"lily","metro-ongen","eden"
"wuthering heights","kate bush","the kick inside"
"waiting for the moon to rise","belle and sebastian","fold your hands child, you walk like a peasant"
"my rebel","fievel is glauque","flaming swords"
"amoeba","clairo","sling"
"daidai naru","chouchou merged syrups.","clepsydra"
"ppp","beach house","depression cherry"
"beyond love","beach house","depression cherry"
"the arrangement","beach house","b-sides and rarities"
"you love jazz now","justin hurwitz","la la land (original motion picture score)"
"boise","justin hurwitz","la la land (original motion picture score)"
"surprise","justin hurwitz","la la land (original motion picture score)"
"chinatown","justin hurwitz","la la land (original motion picture score)"
"city of stars / may finally come true","justin hurwitz","la la land (original motion picture score)"
"chicken on a stick","justin hurwitz","la la land (original motion picture score)"
"it pays","justin hurwitz","la la land (original motion picture score)"
"holy hell!","justin hurwitz","la la land (original motion picture score)"
"小粋なバイバイ","indigo la end","濡れゆく私小説"
"通り恋","indigo la end","濡れゆく私小説"
"all neon like","björk","homogenic"
"i'm your man","mitski","the land is inhospitable and so are we"
"when memories snow","mitski","the land is inhospitable and so are we"
"the deal","mitski","the land is inhospitable and so are we"
"buffalo replaced","mitski","the land is inhospitable and so are we"
"pluto","björk","homogenic"
"alarm call","björk","homogenic"
"immature - mark bell's version","björk","homogenic"
"5 years","björk","homogenic"
"hunter","björk","homogenic"
"calvary scars","deerhunter","microcastle"
"awful bliss","guided by voices","bee thousand"
"fuck the world","thanksgiving","thanksgiving"
"cannon balls","told slant","going by"
"somewhere","sun kil moon","ghosts of the great highway"
"crow","mount eerie","a crow looked at me"
"soria moria","mount eerie","a crow looked at me"
"toothbrush / trash","mount eerie","a crow looked at me"
"emptiness, pt. 2","mount eerie","a crow looked at me"
"when i take out the garbage at night","mount eerie","a crow looked at me"
"my chasm","mount eerie","a crow looked at me"
"swims","mount eerie","a crow looked at me"
"forest fire","mount eerie","a crow looked at me"
"ravens","mount eerie","a crow looked at me"
"seaweed","mount eerie","a crow looked at me"
"real death","mount eerie","a crow looked at me"
"左恋","indigo la end","夜行秘密"
"reach out to the truth","平田志穂子","ペルソナ4 オリジナル・サウンドトラック"
"just give me one more day","alejandro vargas","just give me one more day"
"milk - 2021 remaster","sweet trip","you will never know why (2021 remaster)"
"softscars","yeule","softscars"
"x w x","yeule","softscars"
"runners high","the pillows","runners high"
"wakusei loop","eve","official number"
"balance ton quoi","angèle","brol"
"セレビィ// celebi","amphee","sunrise"
"route 228 (lo-fi remix)","glitchxcity","route 228 (lo-fi remix)"
"whisked away again","kalaido","moonlit tales"
"make eggs, throw eggs","amphee","sunrise"
"a samurai's death","ricko james","a samurai's death"
"yuki","sens","yuki"
"loneliness","růde","loneliness"
"it goes on","albie","reboot.exe"
"africa","lofi fruits music","africa"
"the lightning","9mm parabellum bullet","dawning"
"dream chaser","concerto moon","ouroboros"
"scarlet shoes","9mm parabellum bullet","dawning"
"norway","beach house","teen dream"
"tomorrow comes i will","lamp","for lovers"
"雨降る夜の向こう","lamp","ランプ幻想"
"moses","gene kelly","singin' in the rain (original motion picture soundtrack)"
"mrs. robinson - from ""the graduate"" soundtrack","simon & garfunkel","bookends"
"sweet marie","the walters","young men"
"amtrak","los retros","looking back"
"coke","john roseboro","johnny"
"are you bored yet? (feat. clairo)","wallows","nothing happens"
"big country","emile mosseri","minari (original motion picture soundtrack)"
"a girl on the train","chance thrash","a girl on the train"
"wasted summers","juju<3","wasted summers"
"太陽さん","ichiko aoba","マホロボシヤ"
"peaach tea ft vivian tran","chance thrash","peaach tea ft vivian tran"
"johanna","john roseboro","johanna"
"funny thing","thundercat","it is what it is"
"anything for you","eyedress","let's skip to the wedding"
"jacob's prayer","emile mosseri","minari (original motion picture soundtrack)"
"omoide cafe","ichiko aoba","origami"
"monolithic","cults","host"
"i stay in bed these days too much","salami rose joe louis","chapters of zdenka"
"away","vacations","vibes"
"tea time","chance thrash","tea time"
"romantic lover","eyedress","let's skip to the wedding"
"infinite love","emile mosseri","kajillionaire (original motion picture soundtrack)"
"when i","steve lacy","the lo-fis"
"cariño","the marías","superclean, vol. ii"
"like the movies","laufey","typical of me ep"
"iliad","my dead girlfriend","shaman's daughter"
"straight bet","myth & roid","myth & roid ベストアルバム「museum-the best of myth & roid-」"
"who is the hunter, who is the prey? (feat. chip wickham)","the sorcerers","in search of the lost city of the monkey god"
"skit skate","lomepal","flip"
"bloom","j^p^n","offering"
"fix you","lofi fruits music","fix you"
"sayonara, sanchez","amphee","handsome tokyo boy"
"tunnel of love","ilytommy","tunnel of love"
"여행","bloom.","여행"
"hey there delilah","lofi fruits music","hey there delilah"
"hikaru","huey daze","hana-bi"
"plastic love","lofi fruits music","plastic love"
"better days","lakey inspired","better days"
"i'm tired of feeling this way","elijah who","i'm tired of feeling this way / lychee juice"
"this girl","elijah who","gentle boy"
"popcorn castle","leon chang","bird world"
"getsomerest/sleepwell","quickly, quickly","quickly quickly, vol. 1"
"when she sleeps","pandrezz","relief"
"ghouls only drink coffee","amphee","ghouls"
"times","eevee","beat tape 05"
"worst day","sagun","worst day"
"musubitsuki","yaul","musubitsuki"
"the edge of dawn (from ""fire emblem: three houses"") [piano version]","streaming music studios","fire emblem: three houses - a piano collection"
"water","caleb belkin","discography"
"howls moving castle","theodor ellefsen","howls moving castle"
"chilling at a cafe","albie","reboot.exe"
"dearly beloved","kyle landry","dearly beloved"
"can't help falling in love","lofi fruits music","can't help falling in love"
"welcome horizons lo-fi (animal crossing: new horizons)","ralfington","animal crossing remixed"
"ghosts from the past, pt. ii","thaehan","fight your demons"
"my gamecube broke.",".uzu","my gamecube broke."
"thank you, i'm sorry","albie","reboot.exe"
"take on me","lofi fruits music","take on me"
"don't be afraid","thaehan","fight your demons"
"love","lofi.samurai","oldies"
"love for you","origami beats","stay wavy, vol. 8"
"jiraiya","nkoha","nkoha 2k18"
"blossom beach","lofi.samurai","growth"
"where you want to go?","eevee","ep unknown"
"time's arrow","kibishi","time's arrow"
"down","thaehan","down"
"fireflies","lofi fruits music","fireflies"
"a new morning","albie","reboot.exe"
"shinrin","vindu","peace of mind"
"redbone","lofi fruits music","redbone"
"euphoria (ode to nujabes)","voker","is this lofi or chillhop?"
"dr. stone","musicality","dr. stone"
"it's you again","ビクター ｍｋｉｉ","kimi no machi"
"bebop","[bsd.u]","a sad kind of bliss"
"rito village - lo-fi edit","besso0","rito village (lo-fi edit)"
"no more zero days","albie","reboot.exe"
"i just felt...","albie","reboot.exe"
"you're gonna be ok","iwamizu","again"
"to zanarkand lofi","rifti beats","ffx lofi"
"despair","aekasora","simple things"
"gurenge","lofi fruits music","gurenge"
"hybrid rainbow","the pillows","little busters"
"ダブル・プラトニツク・スウイサイド","溶けない名前","制服甘露倶楽部"
"choose your fighter","ava max","barbie the album"
"someone in the crowd","emma stone","la la land (original motion picture soundtrack)"
"the queen of hearts","duster","stratosphere"
"毎日がニュース","shinsei kamattechan","児童カルテ"
"docking the pod","duster","stratosphere"
"hades in the dead of winter","my dead girlfriend","hades (the nine stages of change at the deceased remains)"
"william, it was really nothing - 2011 remaster","the smiths","hatful of hollow"
"savior never cry","concerto moon","savior never cry"
"夕方のピアノ","shinsei kamattechan","夕方のピアノ"
"heading for the door","duster","stratosphere"
"a city of warmth","haisuinonasa","about town"
"ひこうき - live","fishmans","98.12.28 男達の別れ (live)"
"danke","my dead girlfriend","hades (the nine stages of change at the deceased remains)"
"dream gypsy","bill evans","undercurrent"
"氷の鳥","ichiko aoba","マホロボシヤ"
"marginalia #62","masakatsu takagi","marginalia iii"
"いそしぎ","セキトオ・シゲオ","アーティスティック・エレクトーン"
"sundrops","masayoshi takanaka","an insatiable high"
"int","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"夕暮れ","lamp","ランプ幻想"
"symphony for a spider plant","mort garson","mother earth's plantasia"
"quiet nights of quiet stars (corcovado)","antônio carlos jobim","sinatra/jobim: the complete reprise recordings"
"bll","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"eu sei que vou te amar","antônio carlos jobim","inédito"
"easter lily","ichiko aoba","windswept adan"
"beginning","c418","minecraft - volume alpha"
"four on six","wes montgomery","incredible jazz guitar"
"beastars -classical-","satoru kōsaki","tvアニメ「beastars」オリジナルサウンドトラック"
"early summer","ryo fukui","シーナリィ"
"할시온의 관 halcyon's coffin","shadow community","동요 / 할시온의 관 restless song / halcyon's coffin"
"long time","rei harakami","[lust]"
"équinoxe","c418","minecraft - volume alpha"
"voice of no return","岡部啓一","nier:automata original soundtrack"
"frc","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"鬼ヶ島","ichiko aoba","マホロボシヤ"
"living mice","c418","minecraft - volume alpha"
"in your own sweet way","wes montgomery","incredible jazz guitar"
"saudade fêz um samba","joão gilberto","joão gilberto apresenta chega de saudade"
"tunnel vision","potsu","just friends"
"claudia nuit","flavien berger","tout le monde aime jeanne (bande originale du film)"
"turtleneck","potsu","ivy league"
"wave","antônio carlos jobim","sinatra/jobim: the complete reprise recordings"
"mon","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"オーボエ・コンチェルト op. 7 no. 3","セキトオ・シゲオ","華麗なるエレクトーン -パセティック-"
"slt","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"change partners","antônio carlos jobim","sinatra/jobim: the complete reprise recordings"
"loss","アトラスサウンドチーム","catherine & catherine full body soundtrack set"
"winter cafe","lamp","soyokaze apartment room 201"
"bathroom mirror / you're coming right?","justin hurwitz","la la land (original motion picture score)"
"i don't love","have a nice life","deathconsciousness"
"myth","beach house","bloom"
"opera house","cigarettes after sex","cigarettes after sex"
"neon moon","cigarettes after sex","neon moon"
"each time you fall in love","cigarettes after sex","cigarettes after sex"
"mauvais ordre","lomepal","mauvais ordre"
"the future","have a nice life","deathconsciousness"
"azar","walfredo em busca da simbiose","maiúsculas cósmicas"
"hasarder","lomepal","mauvais ordre"
"children of the empire","weyes blood","and in the darkness, hearts aglow"
"lovelier girl","beach house","beach house"
"auburn and ivory","beach house","beach house"
"i read that letter you sent me","super secret lo-fi beat collective","kindness of the human touch"
"morning","hyperparadise","morning"
"torimichi","coddneck","torimichi"
"journey","tenno","journey"
"i love being with you","elijah who","gentle boy"
"kairi","lost son","kairi"
"water","lofi.samurai","oldies"
"listen to tommy with a candle burning","furino","beat tape 02"
"one day in japan","aekasora","simple things"
"don't go breaking my heart","lofi fruits music","don't go breaking my heart"
"a thousand years","lofi fruits music","a thousand years"
"bouquet of balloons","biosphere","rekindle the past"
"drifting away","albie","reboot.exe"
"fodlan winds","kyle landry","fodlan winds"
"gohan angers","rifti beats","dragon ball lofi"
"lycoris radiata","musicalbasics","lycoris radiata"
"ice cream","happytear","ice cream"
"japanese rhodes","satsuto","japanese rhodes"
"tokyo times","aekasora","simple things"
"uh oh stinky but it's a soft lofi beat","llusion","uh oh stinky but it's a soft lofi beat"
"chopin: 12 études, op. 25: no. 11 in a minor ""winter wind""","frédéric chopin","chopin: piano sonatas nos. 1 - 3, mazurkas, op. 17 & études"
"flowers at midnight","asokah","flowers at midnight"
"ghost in the daylight","streambeats by harris heller","sakura dreams"
"dragon ball gt","rifti beats","dragon ball lofi"
"itachi uchiha","free flow flava","memory leak"
"chouzetsu dynamic (dbs opening 1)","rifti beats","dragon ball lofi"
"a simple bunny girl","biosphere","a simple bunny girl"
"obito","desanctus","isinumpa"
"water","omarr","desire"
"deep, deep","have a nice life","deathconsciousness"
"big love","the black skirts","team baby"
"ring of past","men i trust","ring of past"
"there is a light that never goes out - 2011 remaster","the smiths","the queen is dead"
"little busters","the pillows","little busters"
"where i end and you begin","radiohead","hail to the thief"
"the night we met","tempura","the night we met"
"la campanella","rousseau","la campanella"
"intro","barnes blvd.","last summer"
"never gonna give you up - lofi remix","peng lexer","never gonna give you up (lofi remix)"
"let me hold you","lofi.samurai","oldies"
"my friend","nkoha","despair"
"lovetokyo","vague003","daruma vol. 10"
"life","fox capture plan","火9ドラマ オリジナル・サウンド・トラック「健康で文化的な最低限度の生活」"
"hand of god","lofi.samurai","oldies"
"moonlight","amphee","ghouls"
"amusement park (from ""nier automata"") [lofi hip hop remix]","alex moukala ii","amusement park (from ""nier automata"") [lofi hip hop remix]"
"omae wa mou - lofi beat","celestial alignment","omae wa mou (lofi beat)"
"bamboo","runaway.","bamboo"
"city ruins (from ""nier automata"") [lofi hip hop remix]","alex moukala ii","city ruins (from ""nier automata"") [lofi hip hop remix]"
"cuddlin","pandrezz","1 am. study session"
"delight","aekasora","simple things"
"kick back","kenshi yonezu","kick back"
"kyouran hey kids!!","the oral cigarettes","fixion"
"boku no sensou","shinsei kamattechan","boku no sensou"
"the moon of the 28th day","0.8syooogeki","zoo&lennon"
"a mente","walfredo em busca da simbiose","maiúsculas cósmicas"
"雲","cold dew","欲欲"
"20191011 you made the bed","mac demarco","one wayne g"
"the muppet show theme","the muppets","the muppets (original motion picture soundtrack)"
"mah na mah na","mahna mahna and the two snowths","the muppets (original motion picture soundtrack)"
"janeiro","não ao futebol moderno","vida que segue"
"let you break my heart again","laufey","let you break my heart again"
"i know it's over - 2011 remaster","the smiths","the queen is dead"
"i love me after you","mitski","the land is inhospitable and so are we"
"apple orchard","beach house","beach house"
"townie","mitski","bury me at makeout creek"
"skit il","lomepal","mauvais ordre"
"other people","beach house","bloom"
"american daughter","beach house","become"
"lover of mine","beach house","teen dream"
"i'm a firefighter","cigarettes after sex","i."
"there is no food","have a nice life","deathconsciousness"
"dark is the night - soviet song тёмная ночь","negatiator","dark is the night - soviet song тёмная ночь"
"come into the water","mitski","be the cowboy"
"everyday","weyes blood","titanic rising"
"truly","cigarettes after sex","cigarettes after sex"
"moonlight on the river","mac demarco","this old dog"
"levitation","beach house","depression cherry"
"bloodhail","have a nice life","deathconsciousness"
"à cabo","pomplamoose","à cabo"
"x - remaster","x japan","blue blood"
"starry eyes","cigarettes after sex","i."
"something to believe","weyes blood","titanic rising"
"young & dumb","cigarettes after sex","cigarettes after sex"
"the future is now","poison girl friend","melting moment"
"palpal","lomepal","flip"
"house on the hill","beach house","beach house"
"childhood","beach house","beach house"
"decrescendo","lomepal","mauvais ordre"
"絶体絶命","cö shu nie","pure"
"resort island : can you feel the sunshine?","sega sound team","sonic r original soundtrack"
"colors -code geass opening mix-","flow","colors"
"great days","karen aoki","great days"
"days 〜eureka opening mix〜","flow","days"
"next view (feat. uyama hiroto)","nujabes","metaphorical music"
"vomitspit","mf doom","mm...food"
"see you again (feat. kali uchis)","tyler, the creator","flower boy"
"sofa king","dangerdoom","the mouse & the mask"
"rhinestone cowboy","madvillain","madvillainy"
"sea of cloud","nujabes","modal soul"
"the sign (feat. pase rock)","nujabes","modal soul"
"jump in the line","harry belafonte","jump up calypso"
"yellow submarine","the beatles","yellow submarine songtrack"
"pink panther theme","henry mancini","the pink panther (original motion picture soundtrack)"
"ymca - original version 1978","village people","ymca"
"chinuhaji","ichiko aoba","windswept adan"
"good job - he was a beautiful player","j.k. simmons","whiplash (original motion picture soundtrack)"
"four glass steps","j foerster","habitat"
"vivo sonhando","stan getz","getz/gilberto"
"willow weep for me","ryo fukui","シーナリィ"
"sobrancelha","flavien berger","tout le monde aime jeanne (bande originale du film)"
"dearly beloved - kingdom hearts ii version-","yoko shimomura","kingdom hearts -hd 2.5 remix- (original soundtrack)"
"fragments of sorrow","下村陽子","kingdom hearts -hd 2.5 remix- (original soundtrack)"
"singin' in the rain","justin hurwitz","babylon (music from the motion picture)"
"botanique","j foerster","habitat"
"rain song","emile mosseri","minari (original motion picture soundtrack)"
"raindrop city","lamp","soyokaze apartment room 201"
"runaway","potsu","ivy league"
"intermezzo gro gro jeanne","flavien berger","tout le monde aime jeanne (bande originale du film)"
"bbydhyonchord","aphex twin","drukqs"
"what's your name - if you want the part, earn it","j.k. simmons","whiplash (original motion picture soundtrack)"
"oh! tengo suerte","masayoshi takanaka","seychelles"
"komm, susser tod - m-10 director's edit version","arianne","evangelion finally"
"feather (feat. cise starr & akin from cyne)","nujabes","modal soul"
"from here to eternity","kensuke ushio","devilman crybaby (original soundtrack)"
"going home","potsu","just friends"
"drowsy","potsu","just friends"
"himotoku kaze","ichiko aoba","origami"
"thn","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"バイバイ yesterday","3年e組うた担(渚&茅野&業&磯貝&前原)","バイバイ yesterday"
"precious time, glory days 2018","サイキックラバー","psychic lover 15th anniversary re-recording tracks 〜crush & build〜"
"化け猫 - leaks from his laptop","tatsuya kitani","化け猫 (leaks from his laptop)"
"99.9","mob choir","99.9"
"re:re:","asian kung-fu generation","ソルファ"
"forgery","yupsilon","forgery"
"windy afternoon","lamp","soyokaze apartment room 201"
"chi no kaze","ichiko aoba","windswept adan"
"in the rain","joe hisaishi","howl's moving castle soundtrack"
"the night squall","lamp","soyokaze apartment room 201"
"o morro não tem vez","antônio carlos jobim","the composer of desafinado, plays"
"神様のたくらみ","ichiko aoba","マホロボシヤ"
"sparkle","ビクター・ファンタスティック・オーケストラ","山下 達郎/竹内 まりや 作品集"
"estate","joão gilberto","amoroso"
"faded","potsu","just friends"
"grandma picked a good spot","emile mosseri","minari (original motion picture soundtrack)"
"美ちなる方へ","shinsei kamattechan","つまんね"
"nosebleed forever","fox academy","elsie"
"crybaby","kensuke ushio","devilman crybaby (original soundtrack)"
"i dont wanna","potsu","just friends"
"place in my dream","lamp","place in my dream"
"só danço samba","stan getz","getz/gilberto"
"hikari - kingdom hearts instrumental version-","hikaru utada","kingdom hearts -hd 1.5 remix- (original soundtrack)"
"rhymes like dimes","mf doom","operation: doomsday (complete)"
"tsukino","mei semones","tsukino"
"gold coast sunset","justin hurwitz","babylon (music from the motion picture)"
"we don't have many days","locl","blanket"
"a reluctant hero / betsy / end credits","bernard herrmann","taxi driver"
"baby's tears blues","mort garson","mother earth's plantasia"
"best friend","laufey","typical of me ep"
"feel","hiroshi yoshimura","green"
"im in space","potsu","just friends"
"天使のささやき","セキトオ・シゲオ","華麗なるエレクトーン -キャッチ・イン・アリス-"
"tani no hamabe","masakatsu takagi","kagayaki"
"ride on time","ビクター・ファンタスティック・オーケストラ","山下 達郎/竹内 まりや 作品集"
"トーキョーレギー","masayoshi takanaka","seychelles"
"soundtrack for your backseat","sundiver ca","superstar baby"
"hate yourself","tv girl","french exit"
"chateau (feel alright)","djo","twenty twenty"
"ゆさぎ","ichiko aoba","マホロボシヤ"
"白昼夢","lamp","ランプ幻想"
"rhapsody in green","mort garson","mother earth's plantasia"
"space lion","seatbelts","cowboy bebop (original motion picture soundtrack)"
"m 5","masayoshi takanaka","an insatiable high"
"intro","emile mosseri","minari (original motion picture soundtrack)"
"gameun deut","mid-air thief","crumbling"
"バルカローレ","セキトオ・シゲオ","華麗なるエレクトーン -パセティック-"
"merry-go-round of life - from 'howl's moving castle'","joe hisaishi","freedom piano stories 4"
"동요 restless song","shadow community","동요 / 할시온의 관 restless song / halcyon's coffin"
"her baton","kensuke ushio","devilman crybaby (original soundtrack)"
"sabiá","antônio carlos jobim","inédito"
"i wish you love","laufey","typical of me ep"
"good (bad?) old days","masayoshi takanaka","an insatiable high"
"curve and light","mid-air thief","crumbling"
"triste","carmen cuesta","mi bossa nova"
"from the window","lamp","soyokaze apartment room 201"
"sleep","hiroshi yoshimura","green"
"beastars -classical-","神前 暁","tvアニメ「beastars」オリジナルサウンドトラック"
"bogart & bergman","justin hurwitz","la la land (original motion picture score)"
"genshin impact main theme","yu-peng chen","genshin impact - the wind and the star traveler (original game soundtrack)"
"try again tomorrow","liana flores","recently"
"triste","elis regina","elis & tom"
"rev","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"parasol","mid-air thief","gongjoong doduk"
"sound journey with the stream","takashi kokubo","healing collection: quiet comfort"
"lone sojourner","yu-peng chen","genshin impact - the wind and the star traveler (original game soundtrack)"
"autumn leaves","housecat","housecat & sisyphus 55, vol. 2"
"憧れのセーシェル諸島","masayoshi takanaka","seychelles"
"oxygène","c418","minecraft - volume alpha"
"passion - kingdom orchestra instrumental version-","hikaru utada","kingdom hearts -hd 2.5 remix- (original soundtrack)"
"lookin up","potsu","just friends"
"theme from taxi driver","bernard herrmann","taxi driver"
"come here go there","rei harakami","[lust]"
"diary of a taxi driver","bernard herrmann","taxi driver"
"空をとべたら","大貫妙子","mignonne (mastered by bernie grundman)"
"adan no shima no tanjyosai","ichiko aoba","windswept adan"
"seabed eden","ichiko aoba","seabed eden"
"o barquinho","carmen cuesta","mi bossa nova"
"marginalia #48","masakatsu takagi","marginalia iii"
"stroll up the hill","justin hurwitz","la la land (original motion picture score)"
"classic rope-a-dope","justin hurwitz","la la land (original motion picture score)"
"summer connection","taeko onuki","sunshower"
"wet hands","c418","minecraft - volume alpha"
"acc","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"横顔","taeko onuki","mignonne (mastered by bernie grundman)"
"thirteen","c418","minecraft - volume alpha"
"a sweet smile","yu-peng chen","genshin impact - the wind and the star traveler (original game soundtrack)"
"帰り道の本","emerson kitamura","ロックンロールのはじまりは"
"all your love","jakob","all your love"
"i'm closing my eyes","potsu","i'm closing my eyes"
"fresh air","potsu","just friends"
"inv(i.i)","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"no answer","mid-air thief","crumbling"
"sus","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"a walk in the skies","joe hisaishi","howl's moving castle soundtrack"
"an insatiable high","masayoshi takanaka","an insatiable high"
"flw","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"bloody stream","coda","bloody stream"
"pretty girl","clairo","pretty girl"
"ちはるの恋","ミドリ","あらためまして、はじめまして、ミドリです。"
"根性無しあたし、あほぼけかす","ミドリ","あらためまして、はじめまして、ミドリです。"
"お猿","ミドリ","あらためまして、はじめまして、ミドリです。"
"かなしい日々。","ミドリ","あらためまして、はじめまして、ミドリです。"
"スキ","ミドリ","あらためまして、はじめまして、ミドリです。"
"love songs on the radio","mojave 3","ask me tomorrow"
"the ballad of hamantha","jack stauber's micropop","the ballad of hamantha / today today / al dente"
"¿y tú qué has hecho?","buena vista social club","buena vista social club"
"dos gardenias","buena vista social club","buena vista social club"
"pueblo nuevo","buena vista social club","buena vista social club"
"el cuarto de tula","buena vista social club","buena vista social club"
"de camino a la vereda","buena vista social club","buena vista social club"
"chan chan","buena vista social club","buena vista social club"
"all i need","radiohead","in rainbows"
"voracity","myth & roid","tvアニメ「オーバーロードⅲ」オープニングテーマ「voracity」"
"打ち砕ーくっ!","pugcat's","イナズマ爆opソングス"
"立ち上がリーヨ","pugcat's","イナズマ爆opソングス"
"anyone else but you","michael cera","juno (music from the motion picture)"
"what gives (...i can't live like this)","michael cera","true that"
"checkin' out","sales","sales lp"
"perfect shirt","fox academy","elsie"
"wedding bell","beach house","devotion"
"i'm so tired - remastered 2009","the beatles","the beatles (remastered)"
"cello (feat. clueso) - mtv unplugged radio atmo-version","udo lindenberg","cello (feat. clueso) [mtv unplugged]"
"nani mo iranai","taeko onuki","sunshower"
"durch den monsun - radio mix","tokio hotel","schrei (so laut du kannst) [new version]"
"figaro","madvillain","madvillainy"
"dr. t","sam wilkes","perform the compositions of sam wilkes & jacob mann"
"tapestry","mike","beware of the monkey"
"dudley boyz (feat. action bronson)","westside gunn","flygod"
"picasso's ear","action bronson","white bronco"
"duke","domi & jd beck","not tight"
"can't fight the devil","zack fox","wood tip"
"tonight may have to last me all my life - mf doom remix","the avalanches","since i left you (20th anniversary deluxe edition)"
"the classic prince","frank dukes","the way of ging"
"waves","j dilla","donuts"
"around the house","charles stepney","step on step"
"consolation prizes","flying lotus","flying lotus presents: music from the hit game show ozzy's dungeon - taken from v/h/s/99"
"triflin'","zack fox","wood tip"
"i'll fight you","open mike eagle","component system with the auto reverse"
"dream child","omari jazz","dream child"
"baguette","ian ewing","baguette"
"thug till it's over","cookin soul","good job"
"donny in valdez - pj's flip","pale jay","donny in valdez (pj's flip)"
"the fly who couldn't fly straight (feat. tyler, the creator)","westside gunn","hitler wears hermes 8: side b"
"two worlds apart","little simz","sometimes i might be introvert"
"two shrimps (feat. mac demarco)","domi & jd beck","not tight"
"copacabana days","jazzinuf","copacabana days"
"spoiled brat","mavi","laughing so hard, it hurts"
"rules of the game","flying lotus","flying lotus presents: music from the hit game show ozzy's dungeon - taken from v/h/s/99"
"the rivington (feat. conway, westside gunn & joyce wrice)","free nationals","free nationals"
"only thing on my mind","zack fox","wood tip"
"itkanbe[sonice]","knxwledge","1988"
"ain't gon stop me","reggie","ain't gon stop me"
"louna's intro","domi & jd beck","not tight"
"survivors","flying lotus","yasuke"
"hue_man nature","saba","hue_man nature"
